Date  of  Report ,0-17  Years  18-29  Years  30-39  Years  40-49  Years  50-59  Years  60-69  Years  70+  Years ,,,,,,,All  Ages
2020-08-18,0.12,0.35,0.54,0.82,1.22,1.76,3.22,1.31
2020-08-19,0.11,0.34,0.52,0.83,1.18,1.76,3.19,1.31
2020-08-20,0.11,0.34,0.53,0.82,1.17,1.75,3.15,1.3
2020-08-21,0.1,0.33,0.52,0.79,1.13,1.72,3.12,1.27
2020-08-22,0.1,0.34,0.52,0.78,1.13,1.71,3.08,1.27
2020-08-23,0.11,0.34,0.51,0.76,1.11,1.69,3.05,1.25
2020-08-24,0.11,0.33,0.49,0.73,1.1,1.67,3.03,1.21
2020-08-25,0.1,0.34,0.49,0.71,1.08,1.66,3.01,1.19
2020-08-26,0.1,0.34,0.49,0.68,1.08,1.64,3,1.19
2020-08-27,0.11,0.33,0.48,0.67,1.09,1.6,2.98,1.18
2020-08-28,0.11,0.33,0.49,0.67,1.09,1.6,2.95,1.21
2020-08-29,0.11,0.33,0.48,0.68,1.08,1.6,2.95,1.21
2020-08-30,0.11,0.33,0.48,0.67,1.08,1.61,2.93,1.22
2020-08-31,0.11,0.33,0.49,0.68,1.05,1.59,2.9,1.24
2020-09-01,0.12,0.33,0.48,0.69,1.04,1.55,2.87,1.23
2020-09-02,0.11,0.34,0.48,0.69,1.02,1.56,2.87,1.22
2020-09-03,0.11,0.34,0.48,0.7,1,1.59,2.9,1.2
2020-09-04,,0.34,0.48,0.7,,1.61,,
2020-09-05,0.12,,,,1.01,,3.02,1.14
