Date  of  Report ,0-17 ,18-29Years,30-39 ,Years ,50-59 ,60-69 ,70+  Years ,All Ages
,,,,,,,,
2021-05-01,0.17,0.63,1.09,1.55,2.13,2.42,3.33,1.45
2021-05-02,0.17,0.63,1.07,1.52,2.09,2.37,3.3,1.43
2021-05-03,0.17,0.63,1.05,1.51,2.08,2.33,3.22,1.42
2021-05-04,0.16,0.63,1.03,1.5,2.03,2.28,3.15,1.39
2021-05-05,0.16,0.63,1.04,1.47,1.97,2.25,3.1,1.37
2021-05-06,0.15,0.63,1.03,1.43,1.93,2.2,3.02,1.35
2021-05-07,0.15,0.62,1,1.38,1.89,2.17,2.96,1.32
2021-05-08,0.15,0.6,0.98,1.37,1.87,2.15,2.92,1.3
2021-05-09,0.14,0.59,0.98,1.35,1.83,2.09,2.84,1.28
2021-05-10,0.15,0.57,0.97,1.33,1.77,2.05,2.78,1.25
2021-05-11,0.15,0.55,0.94,1.29,1.75,2.01,2.69,1.22
2021-05-12,0.15,0.54,0.91,1.27,1.72,1.96,2.64,1.2
2021-05-13,0.15,0.54,0.89,1.24,1.69,1.91,2.57,1.17
2021-05-14,0.14,0.52,0.88,1.22,1.66,1.85,2.51,1.14
2021-05-15,0.14,0.52,0.87,1.17,1.6,1.83,2.46,1.11
2021-05-16,0.14,0.52,0.85,1.14,1.57,1.8,2.42,1.09
2021-05-17,0.13,0.51,0.83,1.11,1.51,1.77,2.37,1.07
2021-05-18,0.13,0.51,0.83,1.09,1.45,1.72,2.33,1.05
2021-05-19,0.13,0.51,0.81,1.07,1.42,1.7,2.29,1.03
