Date  of  Report ,0-17 ,18-29,30-39 ,Years ,50-59 ,Years ,70+  Years ,All Ages
2021-04-12,0.16,0.66,1.18,1.72,2.57,2.91,4.09,1.67
2021-04-13,0.16,0.67,1.16,1.71,2.58,2.9,4.05,1.67
2021-04-14,0.17,0.68,1.18,1.71,2.62,2.9,4.06,1.67
2021-04-15,0.17,0.69,1.2,1.72,2.62,2.93,4.03,1.67
2021-04-16,0.17,0.69,1.23,1.75,2.67,2.96,4.05,1.68
2021-04-17,0.18,0.7,1.24,1.77,2.71,2.95,4.06,1.7
2021-04-18,0.18,0.69,1.23,1.79,2.71,2.96,4.04,1.7
2021-04-19,0.18,0.68,1.25,1.78,2.72,2.96,4.05,1.7
2021-04-20,0.18,0.69,1.26,1.77,2.71,2.94,4.05,1.69
2021-04-21,0.17,0.68,1.25,1.75,2.69,2.93,4.05,1.68
2021-04-22,0.18,0.69,1.23,1.74,2.66,2.89,4.03,1.67
2021-04-23 ,0.18,0.69,1.2,1.72,2.58,2.84,3.96,1.64
2021-04-24,0.18,0.68,1.16,1.66,2.51,2.81,3.91,1.6
2021-04-25,,0.68,,,,,,
2021-04-26,0.18,,1.14,1.61,2.39,2.71,3.75,1.55
2021-04-27,0.18,0.66,1.13,1.59,2.34,2.67,3.66,1.53
2021-04-28,0.18,0.65,1.1,1.58,2.28,2.6,3.55,1.5
2021-04-29,0.18,0.63,1.09,1.57,2.22,2.55,3.47,1.48
2021-04-30,0.18,0.63,1.09,1.54,2.18,2.5,3.4,1.47
