Date  of  Report ,0-17 ,18-29 ,30-39 ,40-49 ,Years ,70+  Years,All  Ages,
2021-03-25,0.16,0.53,0.9,1.32,2.11,2.64,3.86,
2021-03-26,0.16,0.54,0.9,1.34,2.12,2.66,3.9,
2021-03-27,0.16,0.55,0.91,1.35,2.14,2.65,3.91,
2021-03-28,0.17,0.56,0.94,1.38,2.18,2.69,3.94,
2021-03-29,0.16,0.57,0.97,1.41,2.21,2.71,3.97,
2021-03-30,0.16,0.59,0.99,1.45,2.24,2.69,401,
2021-03-31,0.16,0.59,0.99,1.46,2.25,2.72,3.93,
2021-04-01,0.16,0.6,0.99,1.48,2.28,2.7,3.91,
2021-04-02,0.16,0.61,1.02,1.5,2.33,2.7,3.88,
2021-04-03,0.16,0.61,1.05,1.54,2.35,2.73,3.83,
2021-04-04,0.15,0.62,1.05,1.56,2.37,2.77,3.8,
2021-04-05,0.16,0.63,1.06,1.57,2.4,Zhe,3.78,
2021-04-06,0.16,0.63,1.1,1.63,2.44,2.82,3.81,
2021-04-07,,0.64,1.11,1.66,2.45,2.84,3.88,
2021-04-08,0.16,0.64,1.12,1.66,2.48,2.85,3.93,
2021-04-09,0.16,0.64,1.13,1.67,2.49,2.86,3.95,
2021-04-10,0.16,0.64,1.14,1.68,2.51,2.88,3.98,
2021-04-11,0.16,0.65,1.18,1.69,2.55,2.88,4.03,
2021-04-12,0.16,0.66,1.18,1.72,2.57,2.91,4.09,1.67
