Date  of  Report ,0-17 ,18-29 ,30-39 ,40-49 ,50-59 ,Years ,70+  Years ,All  Ages
2021-03-06,0.16,0.54,0.86,1.17,1.98,2.72,4.85,1.53
2021-03-07,0.16,0.54,0.85,1.16,1.94,2.69,4.74,1.5
2021-03-08,0.16,0.52,0.85,1.16,1.95,2.67,4.68,1.49
2021-03-09,0.16,0.52,0.85,1.17,1.95,2.65,4.61,1.48
2021-03-10,0.16,0.52,0.84,1.16,1.93,2.64,4.5,1.47
2021-03-11,0.16,0.52,0.83,1.18,1.92,2.58,4.43,1.45
2021-03-12,0.16,0.52,0.83,1.19,1.89,2.6,4.42,1.45
2021-03-13,0.16,0.51,0.82,1.18,1.89,2.59,4.34,1.44
2021-03-14,0.16,0.5,0.82,1.16,1.89,2.57,4.33,1.43
2021-03-15,0.16,0.5,0.81,1.16,1.88,2.53,4.22,1.42
2021-03-16,0.16,0.5,0.81,1.17,1.9,2.53,4.18,1.42
2021-03-17,0.15,0.49,0.82,1.18,1.9,2.53,4.09,1.41
2021-03-18,0.15,0.49,0.83,1.19,1.93,2.56,4.08,1.41
2021-03-19,0.15,0.5,0.84,1.2,1.95,2.55,3.95,1.39
2021-03-20,0.15,0.5,0.84,1.22,1.98,2.56,3.92,1.4
2021-03-21,0.15,0.51,0.85,1.25,2,2.54,3.87,1.4
2021-03-22,0.15,0.51,0.86,1.26,2.02,2.56,3.85,1.4
2021-03-23,0.15,0.51,0.86,1.26,2.03,2.61,3.82,1.41
2021-03-24,0.16,0.53,0.87,1.29,2.08,2.62,3.88,1.43
