Date  of Report ,0-17 ,18-29 ,Years ,Years ,50-59,Years ,70+  Years,All Ages
2021-02-15,0.22,0.69,1.06,1.61,2.65,4.06,8.16,2.27
2021-02-16,0.21,0.66,1.02,1.51,2.55,3.91,7.79,2.18
2021-02-17,0.21,0.65,1.01,1.5,2.5,3.8,7.5,2.13
2021-02-18,0.21,0.63,1,1.47,2.43,3.7,7.25,2.13
2021-02-19,0.2,0.62,0.98,1.43,2.39,3.65,7.01,2.01
2021-02-20,0.2,0.6,0.95,1.43,2.33,3.59,6.86,1.98
2021-02-21,0.21,0.59,0.94,1.42,2.32,3.56,6.78,1.97
2021-02-22,0.2,0.6,0.95,1.45,2.31,3.54,6.77,1.96
2021-02-23,0.2,0.6,0.95,1.48,2.3,3.53,6.72,1.95
2021-02-24,0.19,0.59,0.93,1.45,2.27,3.46,6.61,1.92
2021-02-25,0.18,0.59,0.93,1.45,2.23,3.4,6.47,1.89
2021-02-26,0.18,0.58,0.93,1.42,2.19,3.3,6.31,1.84
2021-02-27,0.17,0.57,0.93,1.38,2.14,3.21,6.11,1.79
2021-02-28,0.16,0.57,0.93,1.36,2.13,3.15,5.93,1.75
2021-03-01,0.17,0.57,0.91,1.32,2.09,3.08,5.74,1.7
2021-03-02,0.17,0.56,0.89,1.27,2.04,2.97,5.47,1.64
2021-03-03,0.16,0.55,0.89,1.24,2.01,2.87,5.27,1.59
2021-03-04,0.17,0.54,0.88,1.18,1.98,2.82,5.05,1.56
2021-03-05,0.17,0.54,0.87,1.17,1.99,2.77,4.94,1.55
