Date  of  Report ,0-17 ,Years ,30-39 ,Years ,50-59,Years ,70+  Years,All Ages
2021-01-10,0.3,1.13,1.96,3.1,5.36,8.79,19.29,4.91
2021-01-11,0.29,1.13,1.91,3.08,5.28,8.72,19.15,4.87
2021-01-12,0.29,1.12,1.87,3.03,5.21,8.59,18.83,4.81
2021-01-13,0.28,1.11,1.86,2.99,5.18,8.46,18.7,4.75
2021-01-14,0.28,1.1,1.83,2.99,5.14,8.42,18.54,4.71
2021-01-15,0.27,1.08,1.84,2.99,5.12,8.32,18.41,4.68
2021-01-16,0.27,,,,,,,
2021-01-17,,1.06,1.8,2.92,5.04,8.12,17.94,4.58
2021-01-18,0.27,1.06,1.77,2.9,5.05,8.03,17.76,4.54
2021-01-19,0.28,1.03,1.75,2.86,4.98,7.84,17.44,4.45
2021-01-20,0.27,1.02,1.72,2.83,4.87,7.65,16.96,4.35
2021-01-21,0.27,1,1.68,2.77,4.77,7.5,16.51,4.25
2021-01-22,0.27,0.99,1.63,2.71,4.71,7.38,16.12,4.17
2021-01-23,0.27,0.97,1.62,2.64,4.61,7.23,15.72,4.08
2021-01-24,0.27,0.95,1.6,2.61,4.51,7.07,15.4,4
2021-01-25,0.28,0.93,1.58,2.56,4.36,6.88,14.96,3.9
2021-01-26,0.28,0.93,1.58,2.52,4.28,6.84,14.64,3.85
2021-01-27,0.28,0.93,1.56,2.47,4.2,6.7,14.33,3.78
2021-01-28,0.28,0.93,1.53,2.42,4.11,6.57,14.02,3.72
