Date  of Report ,0-17 ,18-29 ,30-39,Years ,50-59 ,60-69 ,,All Ages
2020-12-22,0.26,1.03,1.79,2.87,5.01,8.04,17.66,4.46
2020-12-23,0.26,1.03,1.79,2.9,5.06,8.14,17.8,4.5
2020-12-24,0.25,1.04,1.79,2.92,5.08,8.21,17.9,4.52
2020-12-25,0.24,1,1.73,2.89,5.01,8.16,17.84,4.49
2020-12-26,0.23,0.99,1.67,2.88,4.94,8.03,17.49,4.41
2020-12-27,0.23,1,1.68,2.88,4.99,8.18,17.77,4.47
2020-12-28,0.23,0.99,1.7,2.92,5.02,8.24,17.9,4.5
2020-12-29,0.22,1,1.69,2.95,5.01,8.23,17.84,4.5
2020-12-30,0.23,1,1.71,2.93,4.99,8.23,17.92,4.51
2020-12-31,0.24,1.01,1.74,2.95,5.01,8.28,18.06,4.56
2021-01-01,0.25,1.03,1.78,2.94,5.07,8.38,18.31,4.62
2021-01-02,0.26,1.05,1.84,2.96,5.14,8.45,18.65,4.7
2021-01-03 ,0.26,1.06,1.86,3,5.2,8.45,18.74,4.73
2021-01-04,0.27,1.06,1.89,2.97,5.19,8.45,18.73,4.74
2021-01-05 ,0.27,1.07,1.92,2.99,5.26,8.54,19,4.81
2021-01-06,0.28,1.07,1.94,3.02,5.3,8.64,19.1,4.85
2021-01-07 ,0.28,1.08,1.96,3.01,5.34,8.64,19.14,4.86
2021-01-08,0.29,1.11,1.98,3.09,5.39,8.72,19.24,4.9
2021-01-09,0.3,1.13,2,3.14,5.45,8.9,19.49,4.97
2021-01-10,0.3,1.13,1.96,3.1,5.36,8.79,19.39,4.91
