Date  of Report ,0-17 ,18-29 ,30-39 ,40-49 ,50-59 ,Years ,70+  Years ,All  Ages
2021-10-07,0.29,0.77,1.42,2.01,2.79,3.73,6.03,2.15
2021-10-08,0.27,0.76,1.39,1.99,2.73,3.66,5.96,2.12
2021-10-10,0.26,0.75,1.35,1.97,2.69,3.61,5.91,2.07
2021-10-11,0.25,0.73,1.34,1.91,2.65,3.59,5.91,2.05
2021-10-12,0.25,0.71,1.32,1.89,2.63,3.54,5.86,2.02
2021-10-13,0.25,0.7,1.29,1.81,2.58,3.48,5.81,1.98
2021-10-14,0.25,0.68,1.27,1.76,2.55,3.44,5.71,1.95
2021-10-15,0.25,0.66,1.25,1.74,2.53,3.4,5.7,1.93
2021-10-16,0.25,0.65,1.22,1.72,2.48,3.34,5.68,1.9
2021-10-17,0.25,0.63,1.19,1.68,2.43,3.32,5.62,1.88
2021-10-18,0.25,0.62,1.16,1.67,2.38,3.28,5.56,1.86
2021-10-19,0.24,0.61,1.15,1.64,2.3,3.23,5.44,1.82
2021-10-20,0.23,0.59,1.13,1.62,2.24,3.16,5.35,1.79
2021-10-21,0.23,0.59,1.11,1.59,2.21,3.1,5.31,1.76
2021-10-22,0.22,0.58,1.07,1.55,2.15,3.06,5.2,1.73
2021-10-23,0.21,0.57,1.06,1.51,2.12,3.03,5.08,1.7
2021-10-24,0.21,0.57,1.04,1.47,2.09,2.96,5.04,1.68
2021-10-25,0.21,0.56,1.02,1.44,2.07,2.93,4.97,1.66
2021-10-26,0.2,0.56,1,1.39,2.06,2.85,4.89,1.63
