Date,,Date  of  Report  0-17  Years  18-29  Years  30-39  Years  40-49  Years  50-59  Years ,,,,,,60-69  Years  70+  Years  All Ages
2021-09-27,0.35,0.95,1.77,2.51,3.48,4.44,7.06,2.58
2021-09-28,0.35,0.95,1.7,2.45,3.41,4.35,6.93,2.53
2021-09-29,0.34,0.92,1.67,2.41,3.31,4.23,6.8,2.47
2021-09-30,0.33,0.89,1.62,2.34,3.24,4.17,6.66,2.41
2021-10-01,0.32,0.87,1.58,2.28,3.18,4.08,6.55,2.37
2021-10-02,0.32,0.85,1.56,2.19,3.1,3.97,6.46,2.32
2021-10-03,0.31,0.82,1.54,2.15,3.02,3.92,6.33,2.28
2021-10-04,0.31,0.81,1.52,2.12,2.96,3.84,6.23,2.24
2021-10-05,0.3,0.79,1.47,2.07,2.88,3.8,6.13,2.2
2021-10-06,0.29,0.78,1.44,2.04,2.84,3.78,6.07,2.18
2021-10-07,0.29,0.77,1.42,2.01,2.79,3.73,6.03,2.15
2021-10-08,0.27,0.76,1.39,1.99,2.73,3.66,5.96,2.12
# legit missing date,,,,,,,,
2021-10-10,0.26,0.75,1.35,1.97,2.69,3.61,5.91,2.07
2021-10-11,0.25,0.73,1.34,1.91,2.65,3.59,5.91,2.05
2021-10-12,0.25,0.71,1.32,1.89,2.63,3.54,5.86,2.02
2021-10-13,0.25,0.7,1.29,1.81,2.58,3.48,5.81,1.98
2021-10-14,0.25,0.68,1.27,1.76,2.55,3.44,5.71,1.95
2021-10-15,0.25,0.66,1.25,1.74,2.53,3.4,5.7,1.93
2021-10-16,0.25,0.65,1.22,1.72,2.48,3.34,5.68,1.9
