Date  of Report ,0-17 ,18-29 ,Years ,40-49 ,50-59 ,60-69,70+  Years ,All Ages
2020-09-04,,0.34,0.48,0.7,,1.61,,
2020-09-05,0.12,,,,1.01,,3.02,1.14
2020-09-06,0.12,0.35,0.5,0.7,1.02,1.6,3.06,1.12
2020-09-07,0.11,0.35,0.49,0.7,1.03,1.62,3.15,1.09
2020-09-08,0.11,0.35,0.48,0.68,1.04,1.61,3.44,1.07
2020-09-09,0.11,0.35,0.48,0.7,1.05,1.59,3.18,1.07
2020-09-10,0.11,0.34,0.49,0.7,1.07,1.57,3.13,1.07
2020-09-11,0.1,0.34,0.48,0.69,1.06,1.54,3.11,1.07
2020-09-12,0.09,0.34,0.48,0.68,1.06,1.53,3.04,1.05
2020-09-13,0.09,0.34,0.48,0.68,1.08,1.55,2.98,1.05
2020-09-14,0.09,0.34,0.48,0.69,1.07,1.54,2.92,1.04
2020-09-15,0.1,0.35,0.48,0.71,1.05,1.55,2.95,1.05
2020-09-16,0.1,0.35,0.48,0.7,1.04,1.54,2.94,1.02
2020-09-17,0.1,0.35,0.47,0.7,1.03,1.53,2.97,1.01
2020-09-18,0.1,0.35,0.47,0.7,1.02,1.53,3,0.99
2020-09-19,0.1,0.35,0.47,0.71,0.99,1.52,3.05,0.99
2020-09-20,0.1,0.36,0.47,0.72,1,1.5,3.1,0.98
2020-09-21,0.1,0.35,0.48,0.74,,1.5,3.13,0.99
