Date  of Report ,0-17 ,Years ,18-29 ,Years ,30-39 ,Years ,40-49 ,Years ,50-59 ,Years ,60-69,Years ,70+  Years ,All Ages
,,,,,,,,,,,,,,3.50 
,,,,,,,,,,,,,,3.50 
,,,,,,,,,,,,,,3.46 
,,,,,,,,,,,,,,3.42 
,,,,,,,,,,,,,,3.39 
,,,,,,,,,,,,,,3.38 
,,,,,,,,,,,,,,3.31 
,,,,,,,,,,,,,,3.25 
,,,,,,,,,,,,,,3.19 
,,,,,,,,,,,,,,3.13 
,,,,,,,,,,,,,,3.07 
,,,,,,,,,,,,,,3.01 
,,,,,,,,,,,,,,2.95 
,,,,,,,,,,,,,,2.89 
,,,,,,,,,,,,,,2.82 
,,,,,,,,,,,,,,2.76 
,,,,,,,,,,,,,,2.69 
,,,,,,,,,,,,,,2.63 
,,,,,,,,2.58,,,,,,
2021-09-09,0.48,1.33,2.58,3.62,484,5.94,8.40,,,,,,,
2021-09-10,0.48,1.31,2.57,3.62,481,5.92,8.40,,,,,,,
2021-09-11,0.47,1.29,2.55,3.58,4.75,5.83,8.36,,,,,,,
2021-09-12,0.47,1.28,2.51,3.51,4.70,5.77,8.32,,,,,,,
2021-09-13,0.47,1.28,2.49,3.45,4.69,5.70,8.24,,,,,,,
2021-09-14,0.48,1.26,2.48,3.41,4.65,5.64,8.29,,,,,,,
2021-09-15,0.47,1.25,241,3.30,4.54,5.53,8.22,,,,,,,
2021-09-16,0.47,1.22,2.34,3.25,447,5.41,8.11,,,,,,,
2021-09-17,0.45,1.18,2.27,3.18,437,5.29,8.04,,,,,,,
2021-09-18,0.45,1.17,2.20,3.12,4.29,5.21,7.96,,,,,,,
2021-09-19,0.44,1.14,2.15,3.06,4.23,5.15,7.86,,,,,,,
2021-09-20,0.43,1.12,2.09,3.01,4.12,5.07,7.79,,,,,,,
2021-09-21,0.41,1.09,2.06,2.94,4.04,5.01,7.74,,,,,,,
2021-09-22,0.39,1.06,2.01,2.88,3.97,4.92,7.63,,,,,,,
2021-09-23,0.38,1.03,1.97,2.80,3.84,477,7.52,,,,,,,
2021-09-24,0.38,1.02,1.92,2.73,3.76,4.72,7.39,,,,,,,
2021-09-25,0.37,1.00,1.85,2.66,3.65,4.64,7.27,,,,,,,
2021-09-26,0.36,0.98,1.82,2.58,3.56,4.53,7.18,,,,,,,
2021-09-27,0.35,0.95,1.77,2.51,3.48,444,7.06,,,,,,,
