Date  of  Report ,0-17 ,Years ,,40-49 ,50-59 ,Years ,70+  Years,All Ages
2021-08-21,0.42,1.41,2.75,4.01,5.17,5.98,8.58,3.62
2021-08-22,0.42,1.43,2.76,4.05,5.2,6.07,8.68,3.66
2021-08-23,0.43,1.43,2.76,4.07,5.22,6.07,8.78,3.68
2021-08-24,0.43,1.42,2.76,4.03,5.27,6.1,8.82,3.69
2021-08-25,0.44,1.4,2.73,4,5.24,6.11,8.83,3.69
2021-08-26,0.45,1.39,2.73,3.98,5.27,6.15,8.85,3.7
2021-08-27,0.46,1.42,2.71,3.96,5.26,6.19,8.85,3.71
2021-08-28,0.46,1.39,2.71,3.95,5.25,6.22,8.81,3.7
2021-08-29,0.47,1.38,2.72,3.89,5.23,6.18,8.79,3.68
2021-08-30,0.48,1.37,2.7,3.86,5.2,6.19,8.74,3.67
2021-08-31,0.48,1.36,2.72,3.88,5.17,6.16,8.7,3.67
2021-09-01,0.5,1.37,2.76,3.9,5.17,6.2,8.72,3.68
2021-09-02,0.5,1.38,2.79,3.86,5.12,6.15,8.76,3.67
2021-09-03,0.5,1.36,2.78,3.81,5.07,6.1,8.7,3.64
2021-09-04,0.51,1.37,2.77,3.8,5.06,6.07,8.66,3.64
2021-09-05,0.5,1.36,2.74,3.8,5.03,6.06,8.63,3.63
2021-09-07,0.5,1.34,2.67,3.69,4.89,5.96,8.43,3.55
2021-09-08,0.49,1.32,2.62,3.66,4.88,5.91,8.43,3.52
2021-09-09,0.48,1.33,2.58,3.62,4.84,5.94,8.4,3.5
