Date  of  Report ,0-17 ,Years ,18-29 ,Years,30-39 ,Years ,40-49 ,Years,50-59 ,Years ,60-69 ,Years ,70+  Years ,All Ages
“2027-08-02,U.25,,0.99,,T.89,,,2.62,3.16,3.44,,4.95,2.23,
2021-08-03,0.26,,1.03,,1.98,,,2.74,3.35,3.62,,5.15,2.34,
2021-08-05,0.29,,1.12,,2.16,,,2.98,3.69,3.96,,5.58,2.55,
2021-08-06,0.31,,1.13,,2.23,,,3.08,3.85,4.11,,5.80,2.64,
2021-08-07,0.31,,1.17,,2.29,,,3.17,4.00,4.29,,5.99,2.74,
2021-08-08,0.31,,1.21,,2.36,,,3.28,4.14,446,,6.22,2.83,
2021-08-09,0.33,,1.25,,2.42,,,3.35,4.29,4.62,,6.44,2.93,
2021-08-10,0.34,,1.27,,247,,,3.44,443,477,,6.69,3.02,
2021-08-11,0.36,,1.29,,2.51,,,3.53,4.59,4.92,,6.94,3.11,
2021-08-12,0.37,,1.32,,2.53,,,3.62,472,5.11,,7.19,3.20,
2021-08-13 ,0.37 0.38,,1.33 1.33,,2.58 2.64,,,3.68 3.76,4.80 490,5.28 5.39,,743,3.28 ,
2021-08-14,0.38 0.38,,1.34 1.34,,2.65 2.67,,,3.79 3.85,497 5.02,5.47 5.59,,7.63,3.34,
2021-08-15 ,0.39 0.39,,1.36 1.38,,2.68 2.73,,,3.91 3.95,5.03 5.09,5.72 5.82,,7.78 ,3.38 ,
2021-08-16,0.39 0.40,,1.38 1.39,,2.74 2.76,,,4.00 4.02,5.12 5.16,5.89 5.93,,7.92,3.43,
2021-08-17 ,0.42,,1.41,,2.75,,,4.01,5.17,5.98,,8.13 ,3.48 ,
2021-08-18,,,,,,,,,,,,8.24,3.53,
2021-08-19 ,,,,,,,,,,,,8.36 ,3.56 ,
2021-08-20,,,,,,,,,,,,8.45,3.59,
2021-08-21,,,,,,,,,,,,8.58,3.62,
In71  ne 39,nay,atAD,77e ,anc ,cw ,cn7 ,oco,,,,,,,
