Date  of  Report ,0-17 ,18-29 ,30-39 ,Years,50-59 ,Years ,Years ,70+  Years 
2021-08-02,0.25,0.99,0.89,2.62,3.16,3.44,4.95,2.23
2021-08-03,0.26,1.03,1.98,2.74,3.35,3.62,5.15,2.34
2021-08-05,0.29,1.12,2.16,2.98,3.69,3.96,5.58,2.55
2021-08-06,0.31,1.13,2.23,3.08,3.85,4.11,5.8,2.64
2021-08-07,0.31,1.17,2.29,3.17,4,4.29,5.99,2.74
2021-08-08,0.31,1.21,2.36,3.28,4.14,4.46,6.22,2.83
2021-08-09,0.33,1.25,2.42,3.35,4.29,4.62,6.44,2.93
2021-08-10,0.34,1.27,2.47,3.44,4.43,4.77,6.69,3.02
2021-08-11,0.36,1.29,2.51,3.53,4.59,4.92,6.94,3.11
2021-08-12,0.37,1.32,2.53,3.62,4.72,5.11,7.19,3.2
2021-08-13 ,0.37,1.33,2.58,3.68,4.8,5.28,7.43,3.28
2021-08-14,0.38,1.33,2.64,3.76,4.9,5.39,7.63,3.34
2021-08-15 ,0.38,1.34,2.65,3.79,4.97,5.47,7.78,3.38
2021-08-16,0.38,1.34,2.67,3.85,5.02,5.59,7.92,3.43
2021-08-17 ,0.39,1.36,2.68,3.91,5.03,5.72,8.13,3.48
2021-08-18,0.39,1.38,2.73,3.95,5.09,5.82,8.24,3.53
2021-08-19 ,0.39,1.38,2.74,4,5.12,5.89,8.36,3.56
2021-08-20,0.4,1.39,2.76,4.02,5.16,5.93,8.45,3.59
2021-08-21,0.42,1.41,2.75,4.01,5.17,5.98,8.58,3.62
