Date  of  Report ,,18-29 ,30-39,Years ,50-59 ,Years ,Years ,
2021-07-15,0.1,0.43,0.78,1.01,1.27,1.43,1.94,0.89
2021-07-16,0.1,0.46,0.81,1.05,1.32,1.5,2.06,0.93
2021-07-17,0.11,0.47,0.86,1.1,1.39,1.56,2.13,0.98
2021-07-18,0.11,0.49,0.91,1.15,1.44,1.64,2.21,1.02
2021-07-19,0.12,0.51,0.94,1.23,1.51,1.74,2.31,1.07
2021-07-20,0.12,0.53,0.99,1.3,1.61,1.82,2.48,1.13
2021-07-21,0.13,0.57,1.04,1.38,1.7,1.89,2.64,1.19
2021-07-22,0.14,0.61,1.11,1.49,1.8,1.96,2.81,1.27
2021-07-23,0.15,0.63,1.17,1.56,1.9,2.09,2.94,1.34
2021-07-24,0.15,0.67,1.22,1.65,1.99,2.21,3.12,1.41
2021-07-25,0.16,0.7,1.28,1.74,2.12,2.31,3.31,1.49
2021-07-26,0.17,0.73,1.35,1.83,2.24,2.43,3.48,1.57
2021-07-27,0.18,0.77,1.41,1.93,2.36,2.58,3.68,1.66
2021-07-28 0.19,0.19,0.8,1.51,2.03,2.48,2.74,3.92,1.76
2021-07-29 0.20,0.2,0.82,1.58,2.12,2.6,2.88,4.09,1.84
2021-07-30 0.21,0.21,0.89,1.66,2.27,2.77,3.03,4.33,1.95
2021-07-31 0.23,0.23,0.92,1.74,2.4,2.92,3.17,4.57,2.06
2021-08-01 0.24,0.24,0.96,1.82,2.5,3.04,3.3,4.73,2.14
2021-08-02 0.25,0.25,0.99,1.89,2.62,3.16,3.44,4.93,2.23
