Date  of  Report ,0-17  Years  18-29  Years 30-39  Years  40-49  Years  50-59  Years  60-69  Years  70+  Years ,,,,,,,All  Ages
2021-06-25,0.1,0.29,0.43,0.52,0.72,0.9,1.24,0.55
2021-06-26,0.09,0.29,0.44,0.52,0.72,0.91,1.25,0.55
2021-06-27,0.09,0.28,0.44,0.54,0.73,0.92,1.24,0.56
2021-06-28,0.09,0.29,0.45,0.54,0.75,0.92,1.24,0.56
2021-06-29,0.09,0.29,0.45,0.54,0.76,0.93,1.27,0.57
2021-06-30,0.09,0.3,0.46,0.56,0.77,0.93,1.31,0.57
2021-07-01,0.08,0.3,0.47,0.57,0.78,0.92,1.31,0.58
2021-07-03,0.08,0.32,0.5,0.63,0.84,0.96,1.37,0.61
2021-07-04,0.07,0.32,0.52,0.63,0.86,0.96,1.38,0.61
2021-07-05,0.07,0.32,0.52,0.65,0.85,0.98,1.41,0.62
2021-07-06,0.08,0.33,0.53,0.66,0.86,1,1.42,0.63
2021-07-07,0.08,0.33,0.56,0.69,0.9,1.04,1.45,0.65
2021-07-08,0.08,0.34,0.58,0.72,0.93,1.08,1.51,0.68
2021-07-09,0.08,,0.6,0.75,0.96,1.11,1.55,0.69
2021-07-10,0.09,0.35,0.62,0.79,0.99,1.16,1.61,0.72
2021-07-11,0.09,0.36,0.64,0.83,1.03,1.19,1.68,0.75
2021-07-12,0.09,0.38,0.69,0.86,1.1,1.22,1.74,0.79
2021-07-13,0.09,0.4,0.74,0.92,1.17,1.29,1.82,0.83
2021-07-14,0.09,0.41,0.75,0.96,1.21,1.34,1.87,0.86
