Date  of  Report ,,18-29 ,30-39 ,Years ,50-59 ,60-69 ,70+  Years ,All  Ages
2021-06-07,0.11,0.35,0.54,0.67,0.89,1.05,1.56,0.68
2021-06-08,0.11,0.35,0.55,0.66,0.9,1.06,1.56,0.68
2021-06-09,0.11,0.33,0.54,0.63,0.88,1.03,1.53,0.66
2021-06-10,0.1,0.32,0.52,0.63,0.88,1.02,1.48,0.65
2021-06-11,0.09,0.33,0.51,0.64,0.86,1,1.44,0.64
2021-06-12,0.09,0.32,0.48,0.66,0.84,0.98,1.41,0.63
2021-06-13,0.09,0.32,0.47,0.67,0.82,0.95,1.4,0.62
2021-06-14,0.09,0.31,0.47,0.68,0.8,0.95,1.39,0.62
2021-06-15,0.09,0.31,0.45,0.67,0.78,0.93,1.36,0.6
2021-06-16,0.09,0.31,,0.65,0.79,0.92,1.34,0.6
2021-06-17,0.08,0.31,0.44,0.62,0.78,0.91,1.31,0.59
2021-06-18,0.09,0.3,0.44,0.6,0.77,0.9,1.28,0.58
2021-06-19,0.09,0.29,0.44,0.56,0.77,0.9,1.28,0.57
2021-06-20,0.09,0.29,0.43,0.54,0.76,0.89,1.27,0.56
2021-06-21,0.08,0.29,0.43,0.54,0.74,0.89,1.26,0.56
2021-06-22,0.08,0.29,0.44,0.55,0.74,0.89,1.26,0.56
2021-06-23,0.09,0.29,0.44,0.54,0.73,0.89,1.24,0.56
2021-06-24,0.09,0.29,0.43,0.54,0.72,0.89,1.24,0.56
2021-06-25,0.1,0.29,0.43,0.52,0.72,0.9,1.24,0.55
