Date  of  Report ,0-17 ,Years ,18-29 ,Years ,30-39,Years ,40-49 ,Years ,50-59 ,Years ,60-69 ,Years ,70+  Years,All  Ages
2020-09-20,0.10,,,0.36,0.47,,,0.72,0.99,,,1.50,3.10,0
2020-09-21,0.10,,,0.35,0.48,,,0.74,1.00,,,1.50,3.13,.
2020-09-22,0.10,,,0.34,0.49,,,0.74,1.01,,,1.51,3.19,9
2020-09-23,0.10,,,0.34,0.50,,,0.74,1.03,,,1.54,3.20,8
2020-09-24,0.10,,,0.35,0.50,,,0.75,1.05,,,nar,3.22,0
2020-09-25,0.10,,,0.34,0.50,,,0.75,1.06,,,1.60,3.23,.
2020-09-26,0.11,,,0.34,0.51,,,0.79,1.07,,,1.63,3.25,9
2020-09-27,0.11,,,0.33,0.50,,,0.78,1.10,,,1.65,3.27,9
2020-09-28,0.11,,,0.33,0.52,,,0.77,1.11,,,1.67,3.34,0
2020-09-29,0.10,,,0.34,0.53,,,0.77,1.12,,,1.71,3.34,.
2020-09-30,0.10,,,0.34,0.54,,,0.77,1.13,,,1.75,3.44,9
2020-10-01,0.10,,,0.35,0.56,,,0.78,1.17,,,1.76,3.54,8
2020-10-02,0.11,,,0.36,0.57,,,0.77,1.21,,,1.79,359,
2020-10-03,0.11,,,0.36,0.57,,,0.75,1.26,,,1.82,3.67,
2020-10-04,0.11,,,0.36,0.57,,,0.76,1.28,,,1.85,3.72,
2020-10-05,0.11,,,0.37,0.56,,,0.78,1.33,,,1.93,3.86,
2020-10-06,0.12,,,0.38,0.57,,,0.81,1.40,,,2.02,4.00,
2020-10-08,0.13,,,0.38,0.56,,,0.84,1.44,,,2.16,4.26,
