Date  of  Report ,0-17 ,Years ,30-39,Years ,50-59 ,Years ,70+  Years,All  Ages
2020-09-20,0.1,0.36,0.47,0.72,0.99,1.5,3.1,0.98
2020-09-21,0.1,0.35,0.48,0.74,1,1.5,3.13,0.99
2020-09-22,0.1,0.34,0.49,0.74,1.01,1.51,3.19,0.98
2020-09-23,0.1,0.34,0.5,0.74,1.03,1.54,3.2,1
2020-09-24,0.1,0.35,0.5,0.75,1.05,1.57,3.22,1
2020-09-25,0.1,0.34,0.5,0.75,1.06,1.6,3.23,1
2020-09-26,0.11,0.34,0.51,0.79,1.07,1.63,3.25,1.02
2020-09-27,0.11,0.33,0.5,0.78,1.1,1.65,3.27,1.03
2020-09-28,0.11,0.33,0.52,0.77,1.11,1.67,3.34,1.05
2020-09-29,0.1,0.34,0.53,0.77,1.12,1.71,3.34,1.06
2020-09-30,0.1,0.34,0.54,0.77,1.13,1.75,3.44,1.07
2020-10-01,0.1,0.35,0.56,0.78,1.17,1.76,3.54,1.09
2020-10-02,0.11,0.36,0.57,0.77,1.21,1.79,3.59,1.1
2020-10-03,0.11,0.36,0.57,0.75,1.26,1.82,3.67,1.12
2020-10-04,0.11,0.36,0.57,0.76,1.28,1.85,3.72,1.14
2020-10-05,0.11,0.37,0.56,0.78,1.33,1.93,3.86,1.17
2020-10-06,0.12,0.38,0.57,0.81,1.4,2.02,4,1.23
2020-10-08,0.13,0.38,0.56,0.84,1.44,2.16,4.26,1.29
2020-10-09,0.13,0.39,0.57,0.88,1.47,2.25,4.4,1.33
