Date  of  Report ,0-17 ,18-29 ,30-39,40-49 ,50-59 ,60-69 ,70+  Years
2020-10-26,0.12,0.48,0.8,1.27,2.03,3.12,6.37
2020-10-27,0.13,0.48,0.8,1.28,2.02,3.15,6.44
2020-10-28,0.13,0.49,0.82,1.28,2.06,3.17,6.58
2020-10-29,0.13,0.5,0.84,1.31,2.11,3.2,6.7
2020-10-30,0.14,0.51,0.85,1.34,2.18,3.26,6.84
2020-10-31,0.14,0.52,0.85,1.36,2.17,3.29,6.98
2020-11-01,0.14,0.53,0.85,1.38,2.22,3.34,7.13
2020-11-02,0.14,0.54,0.86,1.4,2.31,3.38,7.27
2020-11-03,0.14,0.56,0.88,1.44,2.34,3.43,744
2020-11-04,0.14,0.56,0.88,1.46,2.36,3.51,7.61
2020-11-05,0.14,0.56,0.9,1.48,2.4,3.57,781
2020-11-06,0.14,0.58,0.93,1.52,2.46,3.68,8.05
2020-11-07 ,0.15,0.6,0.94 0.97,1.57 1.61,2.54 2.60,3.84 3.97,8.34 8.62
2020-11-08,0.17,0.61,1.05 1.10,1.74 1.82,2.82 2.96,4.36 4.54,9.29 9.64
2020-11-10 ,0.19,0.65,1.14 1.17,1.90 1.94,3.07 3.17,4.72 4.86,9.99
2020-11-11,0.2,0.68,1.21 1296,1.98 n2,3.26 ..,4.98 c1c6,10.23
2020-11-12 ,0.2,0.7,,,,,10.55
2020-11-13,0.21,0.72,,,,,1NR2
2020-11-14 ,0.22,0.74,,,,,
2020-11-15,0.21,0.76,,,,,
