Date  of  Report ,0-17 ,18-29 ,30-39,40-49 ,50-59 ,60-69 ,70+  Years,
2020-10-26,0.12,0.48,0.8,1.27,2.03,3.12,6.37,1.74
2020-10-27,0.13,0.48,0.8,1.28,2.02,3.15,6.44,1.76
2020-10-28,0.13,0.49,0.82,1.28,2.06,3.17,6.58,1.8
2020-10-29,0.13,0.5,0.84,1.31,2.11,3.2,6.7,1.84
2020-10-30,0.14,0.51,0.85,1.34,2.18,3.26,6.84,1.89
2020-10-31,0.14,0.52,0.85,1.36,2.17,3.29,6.98,1.92
2020-11-01,0.14,0.53,0.85,1.38,2.22,3.34,7.13,1.96
2020-11-02,0.14,0.54,0.86,1.4,2.31,3.38,7.27,2.02
2020-11-03,0.14,0.56,0.88,1.44,2.34,3.43,7.44,2.08
2020-11-04,0.14,0.56,0.88,1.46,2.36,3.51,7.61,2.12
2020-11-05,0.14,0.56,0.9,1.48,2.4,3.57,7.81,2.17
2020-11-06,0.14,0.58,0.93,1.52,2.46,3.68,8.05,2.22
2020-11-07 ,0.15,0.6,0.94,1.57,2.54,3.84,8.34,2.31
2020-11-08,0.17,0.61,0.97,1.61,2.6,3.97,8.62,2.38
#legit missing row here,,,,,,,,
2020-11-10 ,0.19,0.65,1.05,1.74,2.82,4.36,9.29,2.57
2020-11-11,0.2,0.68,1.1,1.82,2.96,4.54,9.64,2.67
2020-11-12 ,0.2,0.7,1.14,1.9,3.07,4.72,9.99,2.76
2020-11-13,0.21,0.72,1.17,1.94,3.17,4.86,10.23,2.85
2020-11-14 ,0.22,0.74,1.21,1.98,3.26,4.98,10.55,2.93
2020-11-15,0.21,0.76,1.25,2.03,3.36,5.15,10.83,3.01
