Date  of Report ,0-17  Years  18-29  Years  30-39,,Years  40-49  Years  50-59  Years  60-69  Years  70+  Years  All Ages,,,,,
2020-11-15,0.21,0.76,1.23,2.03,3.36,5.15,10.63,3.01
2020-11-16,0.21,0.76,1.27,2.08,3.45,5.3,11.14,3.08
2020-11-17,0.2,0.78,1.3,2.13,3.54,5.45,11.45,3.16
2020-11-18,0.21,0.79,1.32,2.18,3.62,5.61,11.76,3.23
2020-11-19,0.21,0.79,1.33,2.18,3.71,5.76,12.1,3.3
2020-11-20,0.2,0.79,1.36,2.27,3.78,5.93,12.45,3.37
2020-11-21,0.2,0.79,1.38,2.3,3.85,6.07,12.75,3.43
2020-11-22,0.2,0.8,1.38,2.32,3.9,6.15,13,3.47
2020-11-23,0.2,0.81,1.38,2.33,3.93,6.22,13.16,3.51
2020-11-24,0.2,0.81,1.39,2.33,3.98,6.27,13.51,3.56
2020-11-25,0.2,0.83,1.41,2.32,4.03,6.35,13.79,3.61
2020-11-26,0.2,0.82,1.42,2.34,4.05,6.41,13.94,3.63
2020-11-27,0.2,0.81,1.38,2.27,3.99,6.29,13.77,3.57
2020-11-28,0.19,0.82,1.4,2.31,4.03,6.33,14.02,3.62
2020-11-29,0.2,0.84,1.44,2.35,4.07,6.41,14.26,3.68
2020-11-30,0.2,0.85,1.46,2.39,4.13,6.47,14.43,3.72
2020-12-01,0.21,0.87,1.48,2.43,4.17,6.56,14.55,3.77
2020-12-02,0.22,0.88,1.5,2.48,4.22,6.64,14.68,3.8
2020-12-03,0.22,0.92,1.52,2.53,4.23,6.74,14.91,3.85
2020-12-04,0.24,0.95,1.56,2.6,4.38,6.96,15.47,3.97
