Date  of  Report ,0-17 ,18-29 ,30-39 ,Years ,50-59 ,60-69 ,70+  Years ,All Ages
2020-12-04,0.24,0.95,1.56,2.6,4.38,6.96,15.47,3.97
2020-12-05,0.25,0.96,1.58,2.62,4.41,7.03,15.56,4.01
2020-12-06,0.25,0.95,1.56,2.61,4.41,7.04,15.58,4.01
2020-12-07,0.25,0.96,1.59,2.61,4.4,7.11,15.75,4.03
2020-12-08,0.25,0.96,1.59,2.6,4.42,7.16,15.87,4.05
2020-12-09,0.26,0.96,1.62,2.61,4.48,7.26,16.1,4.09
2020-12-10,0.26,0.97,1.65,2.64,4.59,7.39,16.25,4.15
2020-12-11,0.26,0.99,1.66,2.67,4.63,7.47,16.4,4.2
2020-12-12,0.26,1.01,1.66,2.69,4.71,7.59,16.59,4.25
2020-12-13,0.26,1.01,1.68,2.74,4.78,7.67,16.73,4.29
2020-12-14,0.26,1.03,1.67,2.76,4.85,7.74,16.84,4.32
2020-12-15,0.26,1.03,1.68,2.83,4.93,7.87,17.04,4.38
2020-12-16,0.26,1.03,1.67,2.87,4.94,7.92,17.15,4.4
2020-12-17,0.25,1.03,1.68,2.87,4.94,7.86,17.24,4.4
2020-12-18,0.25,1.03,1.7,2.88,4.96,7.9,17.26,4.39
2020-12-19,0.25,1.01,1.74,2.86,4.96,7.92,17.31,4.4
2020-12-20,0.26,1.02,1.75,2.88,4.97,7.95,17.37,4.41
2020-12-21,0.26,1.02,1.76,2.89,5.01,8,17.48,4.44
2020-12-22,0.26,1.03,1.79,2.87,5.01,8.04,17.66,4.46
