Date  of  Report ,0-17 ,Years ,30-39 ,Years ,50-59 ,60-69 ,70+  Years ,All Ages
2021-05-19,0.13,0.51,0.81,1.07,1.42,1.7,2.29,1.03
2021-05-20,0.13,0.49,0.78,1.03,1.38,1.66,2.26,1.01
2021-05-21,0.14,0.48,0.75,1.03,1.34,1.63,2.23,0.99
2021-05-22,0.13,0.47,0.73,1.03,1.33,1.59,2.2,0.98
2021-05-23,0.13,0.46,0.72,1,1.31,1.58,2.2,0.97
2021-05-24,0.13,0.45,0.7,0.98,1.31,1.56,2.19,0.96
2021-05-25,0.13,0.44,0.7,0.94,1.31,1.52,2.17,0.94
2021-05-26,0.13,0.43,0.69,0.91,1.28,1.48,2.12,0.92
2021-05-27,0.13,0.43,0.69,0.91,1.26,147,2.08,0.91
2021-05-29,0.12,0.41,0.66,0.85,1.2,1.39,1.99,0.86
2021-05-30,0.12,0.41,0.64,0.84,1.16,1.35,1.92,0.84
2021-05-31,0.12,0.4,0.63,0.81,1.11,1.3,1.88,0.81
2021-06-01 ,0.11,0.39,0.6,0.79 0.81,1.03 0.98,1.23 1.20,1.78,0.77
2021-06-02,0.11,0.39,0.57,0.77 0.75,0.94 0.91,1.14 1.12,1.74,0.76
2021-06-03 ,0.11,0.37,0.55,0.73 0.69,0.88 0.88,1.08 1.07,1.72,0.73
2021-06-04,0.11,0.36,0.55,0.67 N&R,0.89 nan,1.05 19K,1.69,0.72
2021-06-05 ,0.11,0.36,0.55,,,,1.64,0.7
2021-06-06,0.11,0.36,0.55,,,,1.61,0.69
2021-06-07 ,0.11,0.35,0.54,,,,1.56,0.68
2021-06-08,0.11,0.35,0.55,,,,156,N&R
