date_report,under_18,18_to_29,30_to_39,40_to_49,50_to_59,60_to_69,70_and_older,all_ages
2020-08-01,0.14,0.43,0.68,1.1,1.6,2.13,3.96,
2020-08-02,0.13,,,,,,,1.56
2020-08-03,,0.44,0.67,1.1,1.57,2.13,3.94,1.54
2020-08-04,0.13,0.44,0.67,1.11,1.54,2.11,3.87,1.5
2020-08-05,0.13,0.44,0.68,1.09,1.52,2.11,3.82,1.49
2020-08-06,0.12,0.44,0.67,1.06,1.48,2.12,3.8,1.46
2020-08-07,0.13,0.44,0.66,1.04,1.49,2.06,3.75,1.41
2020-08-08,0.13,0.43,0.65,1.04,1.48,2.09,3.78,1.36
2020-08-09,0.14,0.41,0.65,1.01,1.46,2.05,3.77,1.35
2020-08-10,0.14,0.41,0.65,0.97,1.46,2.01,3.72,1.33
2020-08-11,0.15,0.41,0.64,0.93,1.44,2.02,3.7,1.32
2020-08-12,0.15,0.41,0.63,0.89,1.42,1.98,3.65,1.3
2020-08-13,0.15,0.4,0.61,0.87,1.38,1.92,3.55,1.29
2020-08-14,0.15,0.39,0.6,0.86,1.35,1.9,3.48,1.29
2020-08-15,0.15,0.38,0.58,0.83,1.3,1.85,3.38,1.29
2020-08-16,0.14,0.38,0.57,0.83,1.28,1.83,3.34,1.29
2020-08-17,0.13,0.37,0.55,0.83,1.25,1.81,3.28,1.32
2020-08-18,0.12,0.35,0.54,0.82,1.22,1.76,3.22,1.31
2020-08-19,0.11,0.34,0.52,0.83,1.18,1.76,3.19,1.31
2020-08-20,0.11,0.34,0.53,0.82,1.17,1.75,3.15,1.3
2020-08-21,0.1,0.33,0.52,0.79,1.13,1.72,3.12,1.27
2020-08-22,0.1,0.34,0.52,0.78,1.13,1.71,3.08,1.27
2020-08-23,0.11,0.34,0.51,0.76,1.11,1.69,3.05,1.25
2020-08-24,0.11,0.33,0.49,0.73,1.1,1.67,3.03,1.21
2020-08-25,0.1,0.34,0.49,0.71,1.08,1.66,3.01,1.19
2020-08-26,0.1,0.34,0.49,0.68,1.08,1.64,3,1.19
2020-08-27,0.11,0.33,0.48,0.67,1.09,1.6,2.98,1.18
2020-08-28,0.11,0.33,0.49,0.67,1.09,1.6,2.95,1.21
2020-08-29,0.11,0.33,0.48,0.68,1.08,1.6,2.95,1.21
2020-08-30,0.11,0.33,0.48,0.67,1.08,1.61,2.93,1.22
2020-08-31,0.11,0.33,0.49,0.68,1.05,1.59,2.9,1.24
2020-09-01,0.12,0.33,0.48,0.69,1.04,1.55,2.87,1.23
2020-09-02,0.11,0.34,0.48,0.69,1.02,1.56,2.87,1.22
2020-09-03,0.11,0.34,0.48,0.7,1,1.59,2.9,1.2
2020-09-04,0.12,0.34,0.48,0.7,1.01,1.61,2.96,1.17
2020-09-05,0.12,0.34,0.48,0.7,1.01,1.61,3.02,1.14
2020-09-05,0.12,0.34,0.48,0.7,1.01,1.61,3.03,1.14
2020-09-06,0.12,0.35,0.5,0.7,1.02,1.6,3.06,1.12
2020-09-07,0.11,0.35,0.49,0.7,1.03,1.62,3.15,1.09
2020-09-08,0.11,0.35,0.48,0.68,1.04,1.61,3.44,1.07
2020-09-09,0.11,0.35,0.48,0.7,1.05,1.59,3.18,1.07
2020-09-10,0.11,0.34,0.49,0.7,1.07,1.57,3.13,1.07
2020-09-11,0.1,0.34,0.48,0.69,1.06,1.54,3.11,1.07
2020-09-12,0.09,0.34,0.48,0.68,1.06,1.53,3.04,1.05
2020-09-13,0.09,0.34,0.48,0.68,1.08,1.55,2.98,1.05
2020-09-14,0.09,0.34,0.48,0.69,1.07,1.54,2.92,1.04
2020-09-15,0.1,0.35,0.48,0.71,1.05,1.55,2.95,1.05
2020-09-16,0.1,0.35,0.48,0.7,1.04,1.54,2.94,1.02
2020-09-17,0.1,0.35,0.47,0.7,1.03,1.53,2.97,1.01
2020-09-18,0.1,0.35,0.47,0.7,1.02,1.53,3,0.99
2020-09-19,0.1,0.35,0.47,0.71,0.99,1.52,3.05,0.99
2020-09-20,0.1,0.36,0.47,0.72,1,1.5,3.1,0.98
2020-09-20,0.1,0.36,0.47,0.72,0.99,1.5,3.1,0.98
2020-09-21,0.1,0.35,0.48,0.74,,1.5,3.13,0.99
2020-09-21,0.1,0.35,0.48,0.74,1,1.5,3.13,0.99
2020-09-22,0.1,0.34,0.49,0.74,1.01,1.51,3.19,0.98
2020-09-23,0.1,0.34,0.5,0.74,1.03,1.54,3.2,1
2020-09-24,0.1,0.35,0.5,0.75,1.05,1.57,3.22,1
2020-09-25,0.1,0.34,0.5,0.75,1.06,1.6,3.23,1
2020-09-26,0.11,0.34,0.51,0.79,1.07,1.63,3.25,1.02
2020-09-27,0.11,0.33,0.5,0.78,1.1,1.65,3.27,1.03
